settlement_id	languages	names_ara_common	names_ara_common_other	names_ara_search	names_ara_translit	names_ara_translit_other	names_eng_common	names_eng_common_other	names_eng_search	names_eng_translit	names_eng_translit_other	region_URI	source	top_type	coordinates
ROUTPOINT0609_532E298N_O	['ara', 'eng']	RoutPoint0609	RoutPoint0609	RoutPoint0609					RoutPoint0609	RoutPoint0609	RoutPoint0609	Fars_RE	cornuData	xroads	[53.26823, 29.81491]
ROUTPOINT1618_547E376N_O	['ara', 'eng']	RoutPoint1618	RoutPoint1618	RoutPoint1618					RoutPoint1618	RoutPoint1618	RoutPoint1618	Daylam_RE	cornuData	xroads	[54.76182, 37.63592]
ROUTPOINT0607_553E331N_O	['ara', 'eng']	RoutPoint0607	RoutPoint0607	RoutPoint0607					RoutPoint0607	RoutPoint0607	RoutPoint0607	Mafaza_RE	cornuData	xroads	[55.38086, 33.12436]
ROUTPOINT0705_559E253N_O	['ara', 'eng']	RoutPoint0705	RoutPoint0705	RoutPoint0705					RoutPoint0705	RoutPoint0705	RoutPoint0705	JaziratArab_RE	cornuData	xroads	[55.9875, 25.37617]
ROUTPOINT0610_562E290N_O	['ara', 'eng']	RoutPoint0610	RoutPoint0610	RoutPoint0610					RoutPoint0610	RoutPoint0610	RoutPoint0610	Kirman_RE	cornuData	xroads	[56.21906, 29.09437]
ROUTPOINT0604_563E272N_O	['ara', 'eng']	RoutPoint0604	RoutPoint0604	RoutPoint0604					RoutPoint0604	RoutPoint0604	RoutPoint0604	Kirman_RE	cornuData	xroads	[56.3654, 27.24617]
ROUTPOINT0605_565E298N_O	['ara', 'eng']	RoutPoint0605	RoutPoint0605	RoutPoint0605					RoutPoint0605	RoutPoint0605	RoutPoint0605	Kirman_RE	cornuData	xroads	[56.59167, 29.88928]
ROUTPOINT0708_577E227N_O	['ara', 'eng']	RoutPoint0708	RoutPoint0708	RoutPoint0708					RoutPoint0708	RoutPoint0708	RoutPoint0708	JaziratArab_RE	cornuData	xroads	[57.7154, 22.79185]
ROUTPOINT0707_577E228N_O	['ara', 'eng']	RoutPoint0707	RoutPoint0707	RoutPoint0707					RoutPoint0707	RoutPoint0707	RoutPoint0707	JaziratArab_RE	cornuData	xroads	[57.72912, 22.84241]
ROUTPOINT0611_578E312N_O	['ara', 'eng']	RoutPoint0611	RoutPoint0611	RoutPoint0611					RoutPoint0611	RoutPoint0611	RoutPoint0611	Mafaza_RE	cornuData	xroads	[57.81614, 31.25797]
